"Sequence number"	"Sequence ID"	"Functionality"	"V-GENE and allele"	"V-REGION Nb of positions including IMGT gaps (nt)"	"V-REGION Nb of nucleotides"	"V-REGION Nb of identical nucleotides"	"V-REGION Nb of mutations"	"V-REGION Nb of silent mutations"	"V-REGION Nb of nonsilent mutations"	"V-REGION a>g"	"V-REGION g>a"	"V-REGION c>t"	"V-REGION t>c"	"V-REGION a>c"	"V-REGION c>a"	"V-REGION a>t"	"V-REGION t>a"	"V-REGION g>c"	"V-REGION c>g"	"V-REGION g>t"	"V-REGION t>g"	"FR1-IMGT Nb of positions including IMGT gaps (nt)"	"FR1-IMGT Nb of nucleotides"	"FR1-IMGT Nb of identical nucleotides"	"FR1-IMGT Nb of mutations"	"FR1-IMGT Nb of silent mutations"	"FR1-IMGT Nb of nonsilent mutations"	"FR1-IMGT a>g"	"FR1-IMGT g>a"	"FR1-IMGT c>t"	"FR1-IMGT t>c"	"FR1-IMGT a>c"	"FR1-IMGT c>a"	"FR1-IMGT a>t"	"FR1-IMGT t>a"	"FR1-IMGT g>c"	"FR1-IMGT c>g"	"FR1-IMGT g>t"	"FR1-IMGT t>g"	"CDR1-IMGT Nb of positions including IMGT gaps (nt)"	"CDR1-IMGT Nb of nucleotides"	"CDR1-IMGT Nb of identical nucleotides"	"CDR1-IMGT Nb of mutations"	"CDR1-IMGT Nb of silent mutations"	"CDR1-IMGT Nb of nonsilent mutations"	"CDR1-IMGT a>g"	"CDR1-IMGT g>a"	"CDR1-IMGT c>t"	"CDR1-IMGT t>c"	"CDR1-IMGT a>c"	"CDR1-IMGT c>a"	"CDR1-IMGT a>t"	"CDR1-IMGT t>a"	"CDR1-IMGT g>c"	"CDR1-IMGT c>g"	"CDR1-IMGT g>t"	"CDR1-IMGT t>g"	"FR2-IMGT Nb of positions including IMGT gaps (nt)"	"FR2-IMGT Nb of nucleotides"	"FR2-IMGT Nb of identical nucleotides"	"FR2-IMGT Nb of mutations"	"FR2-IMGT Nb of silent mutations"	"FR2-IMGT Nb of nonsilent mutations"	"FR2-IMGT a>g"	"FR2-IMGT g>a"	"FR2-IMGT c>t"	"FR2-IMGT t>c"	"FR2-IMGT a>c"	"FR2-IMGT c>a"	"FR2-IMGT a>t"	"FR2-IMGT t>a"	"FR2-IMGT g>c"	"FR2-IMGT c>g"	"FR2-IMGT g>t"	"FR2-IMGT t>g"	"CDR2-IMGT Nb of positions including IMGT gaps (nt)"	"CDR2-IMGT Nb of nucleotides"	"CDR2-IMGT Nb of identical nucleotides"	"CDR2-IMGT Nb of mutations"	"CDR2-IMGT Nb of silent mutations"	"CDR2-IMGT Nb of nonsilent mutations"	"CDR2-IMGT a>g"	"CDR2-IMGT g>a"	"CDR2-IMGT c>t"	"CDR2-IMGT t>c"	"CDR2-IMGT a>c"	"CDR2-IMGT c>a"	"CDR2-IMGT a>t"	"CDR2-IMGT t>a"	"CDR2-IMGT g>c"	"CDR2-IMGT c>g"	"CDR2-IMGT g>t"	"CDR2-IMGT t>g"	"FR3-IMGT Nb of positions including IMGT gaps (nt)"	"FR3-IMGT Nb of nucleotides"	"FR3-IMGT Nb of identical nucleotides"	"FR3-IMGT Nb of mutations"	"FR3-IMGT Nb of silent mutations"	"FR3-IMGT Nb of nonsilent mutations"	"FR3-IMGT a>g"	"FR3-IMGT g>a"	"FR3-IMGT c>t"	"FR3-IMGT t>c"	"FR3-IMGT a>c"	"FR3-IMGT c>a"	"FR3-IMGT a>t"	"FR3-IMGT t>a"	"FR3-IMGT g>c"	"FR3-IMGT c>g"	"FR3-IMGT g>t"	"FR3-IMGT t>g"	"CDR3-IMGT Nb of positions including IMGT gaps (nt)"	"CDR3-IMGT Nb of nucleotides"	"CDR3-IMGT Nb of identical nucleotides"	"CDR3-IMGT Nb of mutations"	"CDR3-IMGT Nb of silent mutations"	"CDR3-IMGT Nb of nonsilent mutations"	"CDR3-IMGT a>g"	"CDR3-IMGT g>a"	"CDR3-IMGT c>t"	"CDR3-IMGT t>c"	"CDR3-IMGT a>c"	"CDR3-IMGT c>a"	"CDR3-IMGT a>t"	"CDR3-IMGT t>a"	"CDR3-IMGT g>c"	"CDR3-IMGT c>g"	"CDR3-IMGT g>t"	"CDR3-IMGT t>g"	""
714	">1078_@M02381:30:000000000-AUCBB:1:1101:23290:5047"	"productive"	"Homsap TRBV5-1*01 F"	"322 (325)"	"194 (197)"	"192 (194)"	"2 (3)"	"2"	"0 (1)"	"1"	"0"	"0"	"0 (1)"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	4	3	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	51	51	50	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	30	18	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	111	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"10 (13)"	"10 (13)"	"10 (12)"	"0 (1)"	"0"	"0 (1)"	"0"	"0"	"0"	"0 (1)"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	NA
715	">1082_@M02381:30:000000000-AUCBB:1:1101:15149:5051"	"productive"	"Homsap TRBV5-4*01 F, or Homsap TRBV5-4*03 (F)"	"321 (325)"	"193 (197)"	"190 (191)"	"3 (6)"	"0"	"3 (6)"	"1"	"1"	"0"	"0 (2)"	"0"	"0"	"0"	"0"	"0"	"1"	"0 (1)"	"0"	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	4	3	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	51	51	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	18	16	2	0	2	1	1	0	0	0	0	0	0	0	0	0	0	117	111	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"9 (13)"	"9 (13)"	"9 (10)"	"0 (3)"	"0"	"0 (3)"	"0"	"0"	"0"	"0 (2)"	"0"	"0"	"0"	"0"	"0"	"0"	"0 (1)"	"0"	NA
716	">1084_@M02381:30:000000000-AUCBB:1:1101:10978:5057"	"unproductive"	"Homsap TRBV5-1*01 F, or Homsap TRBV5-1*02 (F)"	"312 (325)"	"179 (192)"	"123 (127)"	"56 (65)"	"5 (6)"	"51 (59)"	"4"	"6 (7)"	"8 (9)"	"3 (4)"	"4"	"5 (6)"	"2 (3)"	"8"	"2 (4)"	"7"	"4 (5)"	"3 (4)"	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	50	37	13	2	11	2	0	3	1	0	2	0	2	0	2	1	0	30	18	11	7	0	7	1	1	0	0	0	0	1	1	0	2	1	0	117	111	75	36	3	33	1	5	5	2	4	3	1	5	2	3	2	3	"0 (13)"	"0 (13)"	"0 (4)"	"0 (9)"	"0 (1)"	"0 (8)"	"0"	"0 (1)"	"0 (1)"	"0 (1)"	"0"	"0 (1)"	"0 (1)"	"0"	"0 (2)"	"0"	"0 (1)"	"0 (1)"	NA
717	">1089_@M02381:30:000000000-AUCBB:1:1101:13816:5061"	"No results"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA
718	">1090_@M02381:30:000000000-AUCBB:1:1101:11624:5066"	"productive"	"Homsap TRBV6-2*01 F, or Homsap TRBV6-3*01 F"	"319 (326)"	"191 (198)"	"189 (190)"	"2 (8)"	"1 (3)"	"1 (5)"	"1"	"1 (2)"	"0 (1)"	"0 (2)"	"0 (1)"	"0 (1)"	"0"	"0"	"0"	"0"	"0"	"0"	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	51	50	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	30	18	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	111	110	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	"7 (14)"	"7 (14)"	"7 (8)"	"0 (6)"	"0 (2)"	"0 (4)"	"0"	"0 (1)"	"0 (1)"	"0 (2)"	"0 (1)"	"0 (1)"	"0"	"0"	"0"	"0"	"0"	"0"	NA
719	">1091_@M02381:30:000000000-AUCBB:1:1101:16858:5069"	"No results"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA
720	">1092_@M02381:30:000000000-AUCBB:1:1101:7028:5070"	"productive"	"Homsap TRBV5-1*01 F"	"321 (325)"	"193 (197)"	"191 (194)"	"2 (3)"	"2 (3)"	"0"	"1"	"0"	"0"	"0 (1)"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	4	3	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	51	51	50	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	30	18	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	111	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"9 (13)"	"9 (13)"	"9 (12)"	"0 (1)"	"0 (1)"	"0"	"0"	"0"	"0"	"0 (1)"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	NA
721	">1093_@M02381:30:000000000-AUCBB:1:1101:14799:5072"	"unknown"	"Homsap TRBV10-3*04 [F]"	"312"	"184"	"182"	"2"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	4	3	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	51	51	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	18	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	111	110	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA
722	">1096_@M02381:30:000000000-AUCBB:1:1101:9138:5074"	"No results"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA
723	">1097_@M02381:30:000000000-AUCBB:1:1101:15902:5076"	"No results"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA
724	">1098_@M02381:30:000000000-AUCBB:1:1101:18700:5080"	"No results"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA
725	">1099_@M02381:30:000000000-AUCBB:1:1101:11244:5080"	"No results"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA
726	">1102_@M02381:30:000000000-AUCBB:1:1101:9358:5093"	"productive"	"Homsap TRBV19*01 F"	"324 (326)"	"196 (198)"	"194 (195)"	"2 (3)"	"1 (2)"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0 (1)"	"0"	"0"	"1"	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	4	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	51	51	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	18	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	111	110	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	"12 (14)"	"12 (14)"	"12 (13)"	"0 (1)"	"0 (1)"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0 (1)"	"0"	"0"	"0"	NA
727	">1109_@M02381:30:000000000-AUCBB:1:1101:19044:5114"	"productive"	"Homsap TRBV12-3*01 F"	"322 (326)"	"198 (202)"	"194 (196)"	"4 (6)"	"2"	"2 (4)"	"0 (1)"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0 (1)"	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	5	2	3	2	1	0	0	1	1	1	0	0	0	0	0	0	0	51	51	50	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	30	18	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	114	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"10 (14)"	"10 (14)"	"10 (12)"	"0 (2)"	"0"	"0 (2)"	"0 (1)"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0 (1)"	NA
728	">1110_@M02381:30:000000000-AUCBB:1:1101:6568:5115"	"productive"	"Homsap TRBV19*01 F"	"323 (326)"	"195 (198)"	"193"	"2 (5)"	"2 (4)"	"0 (1)"	"1 (3)"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0 (1)"	"1"	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	4	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	51	51	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	18	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	111	110	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	"11 (14)"	"11 (14)"	"11"	"0 (3)"	"0 (2)"	"0 (1)"	"0 (2)"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0 (1)"	"0"	NA
729	">1111_@M02381:30:000000000-AUCBB:1:1101:22969:5118"	"No results"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA
730	">1112_@M02381:30:000000000-AUCBB:1:1101:11164:5121"	"productive"	"Homsap TRBV6-1*01 F"	"322 (326)"	"194 (198)"	"192 (193)"	"2 (5)"	"1 (2)"	"1 (3)"	"0 (1)"	"0 (1)"	"0"	"0"	"0"	"2"	"0 (1)"	"0"	"0"	"0"	"0"	"0"	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	4	2	2	1	1	0	0	0	0	0	2	0	0	0	0	0	0	51	51	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	18	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	111	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"10 (14)"	"10 (14)"	"10 (11)"	"0 (3)"	"0 (1)"	"0 (2)"	"0 (1)"	"0 (1)"	"0"	"0"	"0"	"0"	"0 (1)"	"0"	"0"	"0"	"0"	"0"	NA
731	">1113_@M02381:30:000000000-AUCBB:1:1101:21075:5122"	"No results"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA
732	">1115_@M02381:30:000000000-AUCBB:1:1101:20696:5126"	"productive"	"Homsap TRBV29-1*01 F"	"319 (323)"	"197 (201)"	"196"	"1 (5)"	"0 (2)"	"1 (3)"	"0 (1)"	"0"	"0"	"1"	"0 (2)"	"0"	"0"	"0"	"0 (1)"	"0"	"0"	"0"	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	4	3	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	51	51	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	21	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	114	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"7 (11)"	"7 (11)"	"7"	"0 (4)"	"0 (2)"	"0 (2)"	"0 (1)"	"0"	"0"	"0"	"0 (2)"	"0"	"0"	"0"	"0 (1)"	"0"	"0"	"0"	NA
733	">1117_@M02381:30:000000000-AUCBB:1:1101:6781:5137"	"unproductive"	"Homsap TRBV6-5*01 F"	"326"	"198"	"196"	"2"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	51	50	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	30	18	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	111	110	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	"14"	"14"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	NA
734	">1118_@M02381:30:000000000-AUCBB:1:1101:13051:5144"	"unproductive"	"Homsap TRBV12-5*01 F"	"314 (326)"	"188 (200)"	"186 (192)"	"2 (8)"	"0 (2)"	"2 (6)"	"0"	"0"	"0"	"1 (2)"	"1 (2)"	"0"	"0"	"0 (1)"	"0 (1)"	"0"	"0"	"0 (2)"	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	3	1	2	0	2	0	0	0	1	1	0	0	0	0	0	0	0	51	51	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	18	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	114	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"2 (14)"	"2 (14)"	"2 (8)"	"0 (6)"	"0 (2)"	"0 (4)"	"0"	"0"	"0"	"0 (1)"	"0 (1)"	"0"	"0"	"0 (1)"	"0 (1)"	"0"	"0"	"0 (2)"	NA
735	">1119_@M02381:30:000000000-AUCBB:1:1101:7029:5150"	"unproductive"	"Homsap TRBV28*01 F"	"312 (326)"	"176 (190)"	"88 (92)"	"88 (98)"	"6 (7)"	"82 (91)"	"6"	"6"	"6 (9)"	"2 (3)"	"4"	"18"	"6 (8)"	"11 (12)"	"3"	"10"	"6 (9)"	"10"	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	47	14	33	2	31	4	4	1	1	1	4	1	3	0	6	2	6	30	18	9	9	0	9	1	1	0	0	1	1	1	3	0	0	0	1	117	111	65	46	4	42	1	1	5	1	2	13	4	5	3	4	4	3	"0 (14)"	"0 (14)"	"0 (4)"	"0 (10)"	"0 (1)"	"0 (9)"	"0"	"0"	"0 (3)"	"0 (1)"	"0"	"0"	"0 (2)"	"0 (1)"	"0"	"0"	"0 (3)"	"0"	NA
736	">1120_@M02381:30:000000000-AUCBB:1:1101:15432:5150"	"No results"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA
737	">1121_@M02381:30:000000000-AUCBB:1:1101:11105:5157"	"productive"	"Homsap TRBV4-2*01 F"	"324 (326)"	"196 (198)"	"196"	"0 (2)"	"0 (2)"	"0"	"0"	"0"	"0"	"0"	"0 (1)"	"0"	"0"	"0"	"0 (1)"	"0"	"0"	"0"	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	51	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	18	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	111	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"12 (14)"	"12 (14)"	"12"	"0 (2)"	"0 (2)"	"0"	"0"	"0"	"0"	"0"	"0 (1)"	"0"	"0"	"0"	"0 (1)"	"0"	"0"	"0"	NA
738	">1122_@M02381:30:000000000-AUCBB:1:1101:10607:5157"	"No results"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA
739	">1123_@M02381:30:000000000-AUCBB:1:1101:13722:5157"	"productive"	"Homsap TRBV6-5*01 F"	"321 (326)"	"193 (198)"	"192"	"1 (6)"	"0 (2)"	"1 (4)"	"0"	"0"	"0 (1)"	"0 (1)"	"0"	"1"	"0 (1)"	"0"	"0"	"0 (1)"	"0"	"0 (1)"	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	51	50	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	30	18	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	111	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"9 (14)"	"9 (14)"	"9"	"0 (5)"	"0 (2)"	"0 (3)"	"0"	"0"	"0 (1)"	"0 (1)"	"0"	"0"	"0 (1)"	"0"	"0"	"0 (1)"	"0"	"0 (1)"	NA
740	">1124_@M02381:30:000000000-AUCBB:1:1101:23101:5158"	"productive"	"Homsap TRBV20-1*01 F, or Homsap TRBV20-1*02 F"	"318 (323)"	"196 (201)"	"196 (198)"	"0 (3)"	"0"	"0 (3)"	"0 (2)"	"0 (1)"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	51	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	21	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	114	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"6 (11)"	"6 (11)"	"6 (8)"	"0 (3)"	"0"	"0 (3)"	"0 (2)"	"0 (1)"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	NA
